name	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
熊的故事	剧情	9.1	19015	24372	18239	熊的故事 L'ours	1988	法国 / 美国	英语	94	61.5%,31.1%,6.9%,0.5%,0.2%	法国,动物,自然,熊,法国电影,经典,温情,电影	法国,动物,自然,熊,法国电影,经典,温情,电影	http://www.imdb.com/title/tt0095800
寻子遇仙记	剧情/喜剧/家庭	9.1	15087	17765	6594	寻子遇仙记 The Kid	1921	美国	英语	68	61.7%,32.9%,5.0%,0.3%,0.1%	卓别林,喜剧,默片,美国,经典,CharlesChaplin,1921,美国电影	卓别林,喜剧,默片,美国,经典,CharlesChaplin,1921,美国电影	http://www.imdb.com/title/tt0012349
南海十三郎	剧情/爱情/传记	9.1	13759	16554	14658	南海十三郎	1997	香港	粤语	110	62.8%,29.7%,6.8%,0.5%,0.2%	香港,谢君豪,香港电影,南海十三郎,传记,剧情,1997,高志森	香港,谢君豪,香港电影,南海十三郎,传记,剧情,1997,高志森	http://www.imdb.com/title/tt0134836
天堂回信	剧情/儿童	9.1	10604	13356	18711	天堂回信	1994	中国大陆	汉语普通话	88	62.4%,29.2%,7.7%,0.5%,0.3%	亲情,童年,中国电影,大陆,中国,经典,天堂回信,眼泪止不住	亲情,童年,中国电影,大陆,中国,经典,天堂回信,眼泪止不住	http://www.imdb.com/title/tt0334505
鳄鱼波鞋走天涯	剧情/儿童	9.1	7302	8734	18573	鳄鱼波鞋走天涯 The Cure	1995	美国	英语	97	60.9%,31.7%,6.8%,0.4%,0.2%	美国,友情,儿童,成长,美国电影,真情世界,亲情,孩子	美国,友情,儿童,成长,美国电影,真情世界,亲情,孩子	http://www.imdb.com/title/tt0112757
剃头匠	剧情/传记	9.1	7190	8914	12067	剃头匠	2006	中国大陆	汉语普通话	103	60.7%,32.5%,6.2%,0.3%,0.2%	老人,人生,北京,中国大陆,传记,温情,生活,2006	老人,人生,北京,中国大陆,传记,温情,生活,2006	http://www.imdb.com/title/tt1160619
女人步上楼梯时	剧情	9.1	6216	7542	11347	女人步上楼梯时 女が階段を上る時	1960	日本	日语	111	61.0%,33.4%,5.2%,0.2%,0.2%	成濑巳喜男,日本,日本电影,高峰秀子,女性,1960,1960s,仲代达矢	成濑巳喜男,日本,日本电影,高峰秀子,女性,1960,1960s,仲代达矢	http://www.imdb.com/title/tt0054144
情迷意乱	剧情/爱情/家庭	9.1	4491	5414	9214	情迷意乱 乱れる	1964	日本	日语	98	60.6%,33.5%,5.4%,0.2%,0.2%	日本,爱情,黑白,1964,成瀬巳喜男,1960s,经典,剧情	日本,爱情,黑白,1964,成瀬巳喜男,1960s,经典,剧情	http://www.imdb.com/title/tt0058349
丛林赤子心	剧情/冒险	9.1	4181	4881	7699	丛林赤子心 Benji the Hunted	1987	美国	英语	88	66.2%,25.9%,7.1%,0.7%,0.1%	动物,狗狗,温情,丛林赤子心,美国,狗,美国电影,迪斯尼	动物,狗狗,温情,丛林赤子心,美国,狗,美国电影,迪斯尼	http://www.imdb.com/title/tt0092638
少年派的奇幻漂流	剧情/奇幻/冒险	9.0	633000	756253	82593	少年派的奇幻漂流 Life of Pi	2012	美国 / 台湾 / 英国 / 加拿大	英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话	127	60.7%,31.6%,7.0%,0.5%,0.2%	奇幻,人性,冒险,美国,3D,人生,剧情,文艺	奇幻,人性,冒险,美国,3D,人生,剧情,文艺	http://www.imdb.com/title/tt0454876
无间道	剧情/悬疑/犯罪	9.0	450860	587531	39982	无间道 無間道	2002	香港	粤语	101	59.5%,33.5%,6.7%,0.3%,0.1%	香港,警匪,黑帮,经典,动作,犯罪,剧情,中国	香港,警匪,黑帮,经典,动作,犯罪,剧情,中国	http://www.imdb.com/title/tt0338564
搏击俱乐部	剧情/动作/悬疑/惊悚	9.0	430545	543642	104089	搏击俱乐部 Fight Club	1999	美国 / 德国	英语	139	60.1%,30.8%,7.9%,0.8%,0.3%	心理,美国,暴力,悬疑,经典,剧情,黑色,犯罪	心理,美国,暴力,悬疑,经典,剧情,黑色,犯罪	http://www.imdb.com/title/tt0137523
蝙蝠侠：黑暗骑士	剧情/动作/科幻/惊悚/犯罪	9.0	361436	439937	53145	蝙蝠侠：黑暗骑士 The Dark Knight	2008	美国 / 英国	英语 / 汉语普通话	152	62.2%,29.1%,7.9%,0.6%,0.2%	美国,科幻,诺兰,动作,犯罪,人性,经典,漫画改编	美国,科幻,诺兰,动作,犯罪,人性,经典,漫画改编	http://www.imdb.com/title/tt0468569
死亡诗社	剧情	9.0	304783	381933	116938	死亡诗社 Dead Poets Society	1989	美国	英语	128	57.6%,33.4%,8.2%,0.7%,0.2%	成长,青春,美国,励志,教育,经典,死亡诗社,RobinWilliams	成长,青春,美国,励志,教育,经典,死亡诗社,RobinWilliams	http://www.imdb.com/title/tt0097165
飞越疯人院	剧情	9.0	297907	389241	132242	飞越疯人院 One Flew Over the Cuckoo's Nest	1975	美国	英语	133	60.0%,32.2%,7.1%,0.5%,0.2%	人性,经典,自由,美国,剧情,1975,心理,人生	人性,经典,自由,美国,剧情,1975,心理,人生	http://www.imdb.com/title/tt0073486
指环王2：双塔奇兵	剧情/动作/奇幻/冒险	9.0	292781	383528	21190	指环王2：双塔奇兵 The Lord of the Rings: The Two Towers	2002	美国 / 新西兰	英语 / 辛达林语 / 古代英语	179	58.2%,32.5%,8.6%,0.6%,0.2%	魔幻,史诗,美国,经典,战争,大片,2002,新西兰	魔幻,史诗,美国,经典,战争,大片,2002,新西兰	http://www.imdb.com/title/tt0167261
钢琴家	剧情/音乐/传记/历史/战争	9.0	217953	278380	90379	钢琴家 The Pianist	2002	法国 / 德国 / 英国 / 波兰	英语 / 德语 / 俄语	150	58.6%,34.7%,6.3%,0.3%,0.1%	二战,战争,人性,钢琴,波兰斯基,音乐,德国,法国	二战,战争,人性,钢琴,波兰斯基,音乐,德国,法国	http://www.imdb.com/title/tt0253474
狩猎	剧情	9.0	140247	161477	106421	狩猎 Jagten	2012	丹麦 / 瑞典	丹麦语 / 英语 / 波兰语	115	59.8%,33.2%,6.2%,0.5%,0.3%	人性,丹麦,剧情,心理,社会,悬疑,2012,北欧	人性,丹麦,剧情,心理,社会,悬疑,2012,北欧	http://www.imdb.com/title/tt2106476
完美的世界	剧情/犯罪	9.0	84883	102310	79117	完美的世界 A Perfect World	1993	美国	英语	138	59.2%,33.0%,7.0%,0.6%,0.2%	美国,人性,犯罪,经典,剧情,温情,感人,成长	美国,人性,犯罪,经典,剧情,温情,感人,成长	http://www.imdb.com/title/tt0107808
忠犬八公物语	剧情	9.0	62353	83017	26538	忠犬八公物语 ハチ公物語	1987	日本	日语	107	60.3%,31.2%,7.8%,0.5%,0.2%	日本,感人,狗狗,温情,日本电影,动物,八千公物语,狗	日本,感人,狗狗,温情,日本电影,动物,八千公物语,狗	http://www.imdb.com/title/tt0093132
我爱你	剧情/爱情	9.0	58945	70132	61712	我爱你 그대를 사랑합니다	2011	韩国	韩语	118	59.3%,31.7%,8.2%,0.7%,0.2%	爱情,韩国,韩国电影,温情,感人,黄昏恋,温暖,2011	爱情,韩国,韩国电影,温情,感人,黄昏恋,温暖,2011	http://www.imdb.com/title/tt1862020
无人知晓	剧情	9.0	57944	68238	67470	无人知晓 誰も知らない	2004	日本	日语	141	57.4%,35.7%,6.2%,0.5%,0.2%	日本,成长,儿童,人性,青春,少年,剧情,2004	日本,成长,儿童,人性,青春,少年,剧情,2004	http://www.imdb.com/title/tt0408664
海蒂和爷爷	剧情/家庭/冒险	9.0	49844	54505	44767	海蒂和爷爷 Heidi	2015	德国 / 瑞士 / 南非	德语 / 瑞士德语 / 南非语	111	57.3%,34.3%,7.8%,0.5%,0.1%	温情,成长,儿童,亲情,瑞士,德国,家庭,剧情	温情,成长,儿童,亲情,瑞士,德国,家庭,剧情	http://www.imdb.com/title/tt3700392
爱·回家	剧情/家庭	9.0	48337	59215	50130	爱·回家 집으로...	2002	韩国	韩语	80	61.7%,29.6%,7.7%,0.7%,0.3%	亲情,韩国,韩国电影,感动,童年,温暖,爱,感人	亲情,韩国,韩国电影,感动,童年,温暖,爱,感人	http://www.imdb.com/title/tt0312841
芙蓉镇	剧情/爱情	9.0	40591	51690	26756	芙蓉镇	1987	中国大陆	汉语普通话	164	57.3%,35.7%,6.6%,0.4%,0.1%	谢晋,姜文,文革,刘晓庆,中国电影,中国,大陆,爱情	谢晋,姜文,文革,刘晓庆,中国电影,中国,大陆,爱情	http://www.imdb.com/title/tt0087301
攻壳机动队2：无罪	剧情/科幻/动画	9.0	35782	43152	17689	攻壳机动队2：无罪 攻殻機動隊2 イノセンス	2004	日本	日语 / 粤语	100	61.8%,29.5%,7.8%,0.7%,0.2%	押井守,动画,日本,科幻,攻壳机动队,日本动画,2004,动漫	押井守,动画,日本,科幻,攻壳机动队,日本动画,2004,动漫	http://www.imdb.com/title/tt0347246
沉静如海	剧情/爱情/战争	9.0	29260	34670	44818	沉静如海 Le silence de la mer	2004	法国 / 比利时	法语 / 德语	93	59.7%,33.1%,6.7%,0.4%,0.1%	爱情,法国,二战,法国电影,战争,沉静如海,文艺,2004	爱情,法国,二战,法国电影,战争,沉静如海,文艺,2004	http://www.imdb.com/title/tt0430594
红鳉鱼	剧情/传记	9.0	25159	28078	21034	红鳉鱼 赤めだか	2015	日本	日语	124	57.9%,35.4%,6.4%,0.2%,0.1%	北野武,日本,二宫和也,日本电影,日剧,二宮和也,传记,2015	北野武,日本,二宫和也,日本电影,日剧,二宮和也,传记,2015	http://www.imdb.com/title/tt4396044
从海底出击	剧情/历史/战争/冒险	9.0	15421	18475	18420	从海底出击 Das Boot	1981	原西德	德语 / 英语 / 法语	149	60.3%,30.8%,7.9%,0.8%,0.2%	德国,二战,战争,潜艇,德国电影,经典,1981,沃尔夫冈·彼得森	德国,二战,战争,潜艇,德国电影,经典,1981,沃尔夫冈·彼得森	http://www.imdb.com/title/tt0082096
